date,customer,lot_id,part_number,stress_condition,ber,sample_count,status
2026-02-03,Customer X,ABC-2025-J11,DDR5-8Gb,1000h@85C,3.2e-9,240,pass
2026-02-05,Customer Y,DEF-2025-J03,LPDDR5-12Gb,1500h@95C,8.0e-9,160,pass
2026-02-08,Customer Z,GHI-2025-J19,DDR5-16Gb,1000h@85C,4.5e-9,200,pass
2026-02-12,Customer X,ABC-2025-J22,DDR5-8Gb,1000h@85C,5.1e-9,240,pass
2026-02-15,Customer Y,DEF-2025-J07,LPDDR5-12Gb,1500h@95C,7.8e-9,160,pass
2026-02-20,Customer X,ABC-2025-J28,DDR5-8Gb,1000h@85C,9.2e-9,240,pass
2026-02-22,Customer Z,GHI-2025-J24,DDR5-16Gb,1000h@85C,6.3e-9,200,pass
2026-02-26,Customer Y,DEF-2025-J12,LPDDR5-12Gb,1500h@95C,8.5e-9,160,pass
2026-03-02,Customer X,ABC-2025-K05,DDR5-8Gb,1000h@85C,1.4e-8,240,fail
2026-03-05,Customer Z,GHI-2025-K02,DDR5-16Gb,1000h@85C,5.7e-9,200,pass
2026-03-08,Customer Y,DEF-2025-K01,LPDDR5-12Gb,1500h@95C,9.1e-9,160,pass
2026-03-12,Customer X,ABC-2025-K11,DDR5-8Gb,1000h@85C,1.8e-8,240,fail
2026-03-15,Customer Z,GHI-2025-K08,DDR5-16Gb,1000h@85C,7.1e-9,200,pass
2026-03-18,Customer X,ABC-2025-K18,DDR5-8Gb,1000h@85C,9.7e-9,240,pass
2026-03-20,Customer Y,DEF-2025-K09,LPDDR5-12Gb,1500h@95C,8.9e-9,160,pass
2026-03-23,Customer Z,GHI-2025-K14,DDR5-16Gb,1000h@85C,5.9e-9,200,pass
2026-03-26,Customer X,ABC-2025-K28,DDR5-8Gb,1000h@85C,2.2e-8,240,fail
2026-03-29,Customer Y,DEF-2025-K15,LPDDR5-12Gb,1500h@95C,9.3e-9,160,pass
2026-04-02,Customer X,ABC-2025-K35,DDR5-8Gb,1000h@85C,8.4e-9,240,pass
2026-04-05,Customer Z,GHI-2025-K21,DDR5-16Gb,1000h@85C,6.8e-9,200,pass
2026-04-08,Customer Y,DEF-2025-K22,LPDDR5-12Gb,1500h@95C,8.7e-9,160,pass
2026-04-12,Customer X,ABC-2025-K42,DDR5-8Gb,1000h@85C,5.0e-7,240,fail
2026-04-15,Customer Z,GHI-2025-K28,DDR5-16Gb,1000h@85C,7.3e-9,200,pass
2026-04-19,Customer Y,DEF-2025-K29,LPDDR5-12Gb,1500h@95C,9.5e-9,160,pass
2026-04-22,Customer X,ABC-2025-K49,DDR5-8Gb,1000h@85C,9.1e-9,240,pass
2026-04-25,Customer Z,GHI-2025-K35,DDR5-16Gb,1000h@85C,6.5e-9,200,pass
2026-04-28,Customer X,ABC-2025-K55,DDR5-8Gb,1000h@85C,8.9e-9,240,pass
2026-04-30,Customer Y,DEF-2025-K36,LPDDR5-12Gb,1500h@95C,8.2e-9,160,pass
